id;name_eng;city_eng;country_eng;IATA;ICAO;timeZone
3919;Sultan Aji Muhamad Sulaiman Airport;Balikpapan;Indonesia;BPN;WALL;8,0
3920;Juwata Airport;Taraken;Indonesia;TRK;WALR;8,0
3921;Temindung Airport;Samarinda;Indonesia;SRI;WALS;8,0
3922;Tanjung Santan Airport;Tanjung Santan;Indonesia;Null;WALT;8,0
3923;Selaparang Airport;Mataram;Indonesia;AMI;WADA;8,0
3924;Muhammad Salahuddin Airport;Bima;Indonesia;BMU;WADB;8,0
3927;Waingapu Airport;Waingapu;Indonesia;WGP;WADW;8,0
3928;Juanda International Airport;Surabaya;Indonesia;SUB;WARR;7,0
3929;Adi Sumarmo Wiryokusumo Airport;Solo City;Indonesia;SOC;WARQ;7,0
3930;Incheon International Airport;Seoul;South Korea;ICN;RKSI;9,0
3931;Chiang Mai International Airport;Chiang Mai;Thailand;CNX;VTCC;7,0
3932;Chiang Rai International Airport;Chiang Rai;Thailand;CEI;VTCT;7,0
3933;Nakhon Si Thammarat Airport;Nakhon Si Thammarat;Thailand;NST;VTSF;7,0
3935;Nakhon Ratchasima Airport;Nakhon Ratchasima;Thailand;NAK;VTUQ;7,0
3936;Nakhon Phanom Airport;Nakhon Phanom;Thailand;KOP;VTUW;7,0
3937;Ubon Ratchathani Airport;Ubon Ratchathani;Thailand;UBP;VTUU;7,0
3938;Khon Kaen Airport;Khon Kaen;Thailand;KKC;VTUK;7,0
3939;Sukhothai Airport;Sukhothai;Thailand;THS;VTPO;7,0
3940;Ngurah Rai (Bali) International Airport;Denpasar;Indonesia;DPS;WADD;8,0
3941;Eleftherios Venizelos International Airport;Athens;Greece;ATH;LGAV;2,0
3942;Chubu Centrair International Airport;Nagoya;Japan;NGO;RJGG;9,0
3943;Kobe Airport;Kobe;Japan;UKB;RJBE;9,0
3944;Pullman Moscow Regional Airport;Pullman;United States;PUW;KPUW;-8,0
3945;Lewiston Nez Perce County Airport;Lewiston;United States;LWS;KLWS;-8,0
3946;Elmira Corning Regional Airport;Elmira;United States;ELM;KELM;-5,0
3947;Ithaca Tompkins Regional Airport;Ithaca;United States;ITH;KITH;-5,0
3948;Monterey Peninsula Airport;Monterey;United States;MRY;KMRY;-8,0
3949;Santa Barbara Municipal Airport;Santa Barbara;United States;SBA;KSBA;-8,0
3950;Daytona Beach International Airport;Daytona Beach;United States;DAB;KDAB;-5,0
3952;Liepāja International Airport;Liepaja;Latvia;LPX;EVLA;2,0
3953;Riga International Airport;Riga;Latvia;RIX;EVRA;2,0
3954;Šiauliai International Airport;Siauliai;Lithuania;SQQ;EYSA;2,0
3955;Barysiai Airport;Barysiai;Lithuania;HLJ;EYSB;2,0
3956;Kaunas International Airport;Kaunas;Lithuania;KUN;EYKA;2,0
3957;S. Darius and S. Girėnas Airport;Kaunas;Lithuania;Null;EYKS;2,0
3958;Palanga International Airport;Palanga;Lithuania;PLQ;EYPA;2,0
3959;Vilnius International Airport;Vilnius;Lithuania;VNO;EYVI;2,0
3960;Panevėžys Air Base;Panevezys;Lithuania;PNV;EYPP;2,0
3962;Erebuni Airport;Yerevan;Armenia;Null;UDYE;4,0
3963;Stepanavan Airport;Stepanavan;Armenia;Null;UDLS;4,0
3964;Zvartnots International Airport;Yerevan;Armenia;EVN;UDYZ;4,0
3965;Gyumri Shirak Airport;Gyumri;Armenia;LWN;UDSG;4,0
3966;Assab International Airport;Assab;Eritrea;ASA;HHSB;3,0
3967;Asmara International Airport;Asmara;Eritrea;ASM;HHAS;3,0
3968;Massawa International Airport;Massawa;Eritrea;MSW;HHMS;3,0
3969;Yasser Arafat International Airport;Gaza;Palestine;GZA;LVGZ;2,0
3971;Batumi International Airport;Batumi;Georgia;BUS;UGSB;4,0
3972;Kopitnari Airport;Kutaisi;Georgia;KUT;UGKO;4,0
3973;Tbilisi International Airport;Tbilisi;Georgia;TBS;UGTB;4,0
3974;Mukalla International Airport;Mukalla;Yemen;RIY;OYRN;3,0
3975;Ta'izz International Airport;Taiz;Yemen;TAI;OYTZ;3,0
3976;Hodeidah International Airport;Hodeidah;Yemen;HOD;OYHD;3,0
3977;Aden International Airport;Aden;Yemen;ADE;OYAA;3,0
3978;Ataq Airport;Ataq;Yemen;AXK;OYAT;3,0
3979;Al Ghaidah International Airport;Al Ghaidah Intl;Yemen;AAY;OYGD;3,0
3980;Sana'a International Airport;Sanaa;Yemen;SAH;OYSN;3,0
3982;Beihan Airport;Beihan;Yemen;BHN;OYBN;3,0
3984;Socotra International Airport;Socotra;Yemen;SCT;OYSQ;3,0
3985;Al Badie Airport;Al Badie;Yemen;Null;OYBA;3,0
3986;Memmingen Allgau Airport;Memmingen;Germany;FMM;EDJA;1,0
3987;Nevşehir Kapadokya Airport;Nevsehir;Turkey;NAV;LTAZ;3,0
3988;Ministro Pistarini International Airport;Buenos Aires;Argentina;EZE;SAEZ;-3,0
3989;Erbil International Airport;Erbil;Iraq;EBL;ORER;3,0
3990;Emerald Airport;Emerald;Australia;EMD;YEML;10,0
3991;Athen Helenikon Airport;Athens;Greece;HEW;LGAT;2,0
3992;Kansai International Airport;Osaka;Japan;KIX;RJBB;9,0
3994;Tagbilaran Airport;Tagbilaran;Philippines;TAG;RPVT;8,0
3995;Ilulissat Airport;Ilulissat;Greenland;JAV;BGJN;-3,0
3996;Qasigiannguit Heliport;Qasigiannguit;Greenland;JCH;BGCH;-3,0
3997;Aasiaat Airport;Aasiaat;Greenland;JEG;BGAA;-3,0
3998;Palma De Mallorca Airport;Palma de Mallorca;Spain;PMI;LEPA;1,0
3999;Darwin International Airport;Darwin;Australia;DRW;YPDN;42864,0
4000;Surat Thani Airport;Surat Thani;Thailand;URT;VTSB;7,0
4004;Talkeetna Airport;Talkeetna;United States;TKA;PATK;-9,0
4005;Xewkija Heliport;Gozo;Malta;GZM;LMMG;1,0
4006;Tweed New Haven Airport;New Haven;United States;HVN;KHVN;-5,0
4007;Asheville Regional Airport;Asheville;United States;AVL;KAVL;-5,0
4008;Piedmont Triad International Airport;Greensboro;United States;GSO;KGSO;-5,0
4009;Joe Foss Field Airport;Sioux Falls;United States;FSD;KFSD;-6,0
4010;Ayers Rock Connellan Airport;Uluru;Australia;AYQ;YAYE;42864,0
4011;Manchester Airport;Manchester NH;United States;MHT;KMHT;-5,0
4012;Naples Municipal Airport;Naples;United States;APF;KAPF;-5,0
4013;LTS Pulau Redang Airport;Redang;Malaysia;RDN;WMPR;8,0
4014;Louisville International Standiford Field;Louisville;United States;SDF;KSDF;-5,0
4015;Charlottesville Albemarle Airport;Charlottesville VA;United States;CHO;KCHO;-5,0
4016;Roanoke–Blacksburg Regional Airport;Roanoke VA;United States;ROA;KROA;-5,0
4017;Blue Grass Airport;Lexington KY;United States;LEX;KLEX;-5,0
4018;Evansville Regional Airport;Evansville;United States;EVV;KEVV;-6,0
4019;Albuquerque International Sunport Airport;Albuquerque;United States;ABQ;KABQ;-7,0
4020;Gallatin Field;Bozeman;United States;BZN;KBZN;-7,0
4021;Billings Logan International Airport;Billings;United States;BIL;KBIL;-7,0
4022;Bert Mooney Airport;Butte;United States;BTM;KBTM;-7,0
4023;Cherry Capital Airport;Traverse City;United States;TVC;KTVC;-5,0
4024;Mundo Maya International Airport;Flores;Guatemala;FRS;MGTK;-6,0
4025;Hancock County-Bar Harbor Airport;Bar Harbor;United States;BHB;KBHB;-5,0
4026;Knox County Regional Airport;Rockland;United States;RKD;KRKD;-5,0
4027;Jackson Hole Airport;Jacksn Hole;United States;JAC;KJAC;-7,0
4028;Chicago Rockford International Airport;Rockford;United States;RFD;KRFD;-6,0
4029;Domodedovo International Airport;Moscow;Russia;DME;UUDD;3,0
4030;Sanya Phoenix International Airport;Sanya;China;SYX;ZJSY;8,0
4031;Milford Sound Airport;Milford Sound;New Zealand;MFN;NZMF;12,0
4033;Lijiang Airport;Lijiang;China;LJG;ZPLJ;8,0
4034;Greenville Spartanburg International Airport;Greenville;United States;GSP;KGSP;-5,0
4037;Central Illinois Regional Airport at Bloomington-Normal;Bloomington;United States;BMI;KBMI;-6,0
4038;Gulfport Biloxi International Airport;Gulfport;United States;GPT;KGPT;-6,0
4039;Kalamazoo Battle Creek International Airport;Kalamazoo;United States;AZO;KAZO;-5,0
4040;Toledo Express Airport;Toledo;United States;TOL;KTOL;-5,0
4041;Fort Wayne International Airport;Fort Wayne;United States;FWA;KFWA;-5,0
4042;Decatur Airport;Decatur;United States;DEC;KDEC;-6,0
4043;The Eastern Iowa Airport;Cedar Rapids;United States;CID;KCID;-6,0
4044;La Crosse Municipal Airport;La Crosse;United States;LSE;KLSE;-6,0
